sim_time,trajectories,conflicts,components,actions
41.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
42.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
42.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
43.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
43.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
44.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
44.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
45.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
45.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
46.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
46.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
47.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
47.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
48.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
48.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
49.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
49.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
50.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
50.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
51.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
51.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
52.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
52.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
53.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
53.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
54.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
54.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
55.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
55.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
56.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
56.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
57.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
57.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
58.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
58.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
59.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
59.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
60.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
60.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
61.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
61.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
62.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
62.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
63.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
63.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
64.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
64.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
65.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
65.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
66.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
66.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
67.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
67.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
68.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
68.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
69.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
69.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
70.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
70.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
71.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
71.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
72.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
72.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
73.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
73.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
74.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
74.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
75.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
75.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
76.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
76.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
77.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
77.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
78.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
78.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
79.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
79.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
