sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale
3.328,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.584,1,en_route_pickup,-4.221,2.988,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
3.584,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
3.584,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
3.584,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.584,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.584,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.584,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.584,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.840,1,en_route_pickup,-4.268,2.983,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
3.840,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
3.840,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
3.840,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.840,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.840,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.840,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.840,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.096,1,en_route_pickup,-4.310,2.980,-6.000,3.500,joint_grid_transaction,2,1,3,9,1,0.000,1.00
4.096,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,joint_grid_transaction,2,0,0,9,2,0.000,1.00
4.096,3,en_route_pickup,3.998,3.000,-3.000,1.500,joint_grid_transaction,2,0,0,9,3,0.000,1.00
4.096,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.096,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.096,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.096,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.096,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.352,1,en_route_pickup,-4.349,2.978,-6.000,3.500,joint_grid_transaction,2,2,2,9,1,0.000,1.00
4.352,2,en_route_pickup,-4.013,-3.004,-1.000,1.500,joint_grid_transaction,2,2,1,9,2,0.000,1.00
4.352,3,en_route_pickup,3.950,3.000,-3.000,1.500,joint_grid_transaction,2,2,2,9,3,0.000,1.00
4.352,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.352,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.352,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.352,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.352,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.608,1,en_route_pickup,-4.388,2.976,-6.000,3.500,joint_grid_transaction,2,2,2,9,1,0.000,1.00
4.608,2,en_route_pickup,-4.027,-3.010,-1.000,1.500,joint_grid_transaction,2,2,1,9,2,0.000,1.00
4.608,3,en_route_pickup,3.902,3.000,-3.000,1.500,joint_grid_transaction,2,2,2,9,3,0.000,1.00
4.608,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.608,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.608,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
